income_status,development_status,parent,continent,location,iso_code,date,population,first_dose,last_dose,booster_dose,partially_vaccinated,total_vaccinations,total_vaccinations_per_million,partially_vaccinated_per_million,fully_vaccinated_per_million,first_dose_per_million,last_dose_per_million,booster_dose_per_million
High income,Developing,world,Asia,Hong Kong,HKG,2021-10,7552810,4617700,4425400,0,192300,9043100,1197315.966,25460.72257,585927.6216,611388.3442,585927.6216,0
High income,Developing,world,Asia,Hong Kong,HKG,2021-11,7552810,4756200,4534400,167000,221800,9457600,1252196.202,29366.55364,600359.3365,629725.8901,600359.3365,22110.97591
High income,Developing,world,Asia,Hong Kong,HKG,2021-12,7552810,4876600,4662000,387100,214600,9925700,1314173.136,28413.26606,617253.7109,645666.9769,617253.7109,51252.44776
High income,Developing,world,Asia,Hong Kong,HKG,2022-01,7604299,5361000,4810600,954000,550400,11125600,1463067.141,72380.11025,632615.8401,704995.9503,632615.8401,125455.351
High income,Developing,world,Asia,Hong Kong,HKG,2022-02,7604299,6165400,5207800,1741500,957600,13114700,1724642.863,125928.7674,684849.4516,810778.219,684849.4516,229015.1926
High income,Developing,world,Asia,Hong Kong,HKG,2022-03,7604299,6519500,5816900,2791500,702600,15127900,1989387.845,92395.1044,764948.8796,857343.984,764948.8796,367094.9814
High income,Developing,world,Asia,Hong Kong,HKG,2022-04,7604299,6633400,6135200,3208700,498200,15977300,2101087.819,65515.57218,806806.7813,872322.3534,806806.7813,421958.6842
High income,Developing,world,Asia,Hong Kong,HKG,2022-05,7604299,6693000,6310400,0,382600,13003400,1710006.406,50313.64495,829846.3803,880160.0253,829846.3803,0
High income,,world,Asia,Macao,MAC,2021-03,658394,38355,13483,0,24872,51838,78734.01033,37776.77196,20478.61919,58255.39115,20478.61919,0
High income,,world,Asia,Macao,MAC,2021-04,658394,68667,36223,0,32444,104890,159311.9014,49277.4843,55017.20854,104294.6928,55017.20854,0
High income,,world,Asia,Macao,MAC,2021-05,658394,109745,65515,0,44230,175260,266193.1913,67178.61949,99507.28591,166685.9054,99507.28591,0
High income,,world,Asia,Macao,MAC,2021-06,658394,234997,108134,0,126863,343131,521163.6194,192685.5348,164239.0423,356924.5771,164239.0423,0
High income,,world,Asia,Macao,MAC,2021-07,658394,283399,227521,0,55878,510920,776009.5019,84870.15374,345569.6741,430439.8278,345569.6741,0
High income,,world,Asia,Macao,MAC,2021-08,658394,325140,275719,0,49421,600859,912613.1162,75062.95622,418775.08,493838.0362,418775.08,0
High income,,world,Asia,Macao,MAC,2021-09,658394,363651,311392,0,52259,675043,1025287.29,79373.44508,472956.9225,552330.3675,472956.9225,0
High income,,world,Asia,Macao,MAC,2021-10,658394,457369,353835,0,103534,811204,1232095.068,157252.3443,537421.3617,694673.706,537421.3617,0
High income,,world,Asia,Macao,MAC,2021-11,658394,477885,431391,10518,46494,919794,1397026.704,70617.28995,655217.0889,725834.3788,655217.0889,15975.23671
High income,,world,Asia,Macao,MAC,2021-12,658394,485547,456469,32299,29078,974315,1479835.782,44165.04403,693306.7434,737471.7874,693306.7434,49057.25143
High income,,world,Asia,Macao,MAC,2022-01,667490,499259,469430,72872,29829,1041561,1560414.388,44688.30994,703276.4536,747964.7635,703276.4536,109173.1711
High income,,world,Asia,Macao,MAC,2022-02,667490,517135,482529,112648,34606,1112312,1666409.984,51844.97146,722900.7176,774745.6891,722900.7176,168763.577
High income,,world,Asia,Macao,MAC,2022-03,667490,568040,500530,179546,67510,1248116,1869864.717,101140.092,749868.9119,851009.0039,749868.9119,268986.8013
High income,,world,Asia,Macao,MAC,2022-04,667490,585451,544477,219407,40974,1349335,2021505.94,61385.18929,815708.1005,877093.2898,815708.1005,328704.5499
High income,,world,Asia,Macao,MAC,2022-05,667490,590924,560055,0,30869,1150979,1724338.941,46246.38571,839046.2778,885292.6636,839046.2778,0
Middle income,Developing,world,South America,Colombia,COL,2021-07,51265844,17119645,14390587,0,2729058,31510232,614643.7772,53233.45501,280705.1611,333938.6161,280705.1611,0
Middle income,Developing,world,South America,Colombia,COL,2021-09,51265844,24483332,20837184,243096,3646148,45563612,888771.3231,71122.36365,406453.5444,477575.908,406453.5444,4741.87063
Middle income,Developing,world,South America,Colombia,COL,2021-08,51265844,24806072,17207121,0,7598951,42013193,819516.2651,148226.3903,335644.9374,483871.3277,335644.9374,0
Middle income,Developing,world,South America,Colombia,COL,2022-01,51512762,28127596,20777504,1728289,7350092,50633389,982929.0264,142684.8749,403346.7279,546031.6028,403346.7279,33550.69565
Middle income,Developing,world,South America,Colombia,COL,2022-02,51512762,29236135,20777504,1728289,8458631,51741928,1004448.723,164204.5713,403346.7279,567551.2992,403346.7279,33550.69565
Middle income,Developing,world,South America,Colombia,COL,2021-10,51265844,30100774,24143254,1607712,5957520,55851740,1089453.243,116208.3667,470942.2905,587150.6573,470942.2905,31360.29517
Middle income,Least developed,world,Africa,Comoros,COM,2021-04,888451,43140,0,0,43140,43140,48556.42011,48556.42011,0,48556.42011,0,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-06,888451,43140,41220,0,1920,84360,94951.77562,2161.064594,46395.35551,48556.42011,46395.35551,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-05,888451,83907,40767,0,43140,124674,140327.3788,48556.42011,45885.47933,94441.89944,45885.47933,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-07,888451,106159,41220,0,64939,147379,165883.0932,73092.38213,46395.35551,119487.7376,46395.35551,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-08,888451,174765,159604,0,15161,334369,376350.5247,17064.53141,179642.9966,196707.528,179642.9966,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-09,888451,190637,162098,0,28539,352735,397022.4582,32122.1992,182450.1295,214572.3287,182450.1295,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-10,888451,273498,179114,0,94384,452612,509439.4626,106234.3337,201602.5645,307836.8982,201602.5645,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-11,888451,281946,241310,0,40636,523256,588953.133,45738.0317,271607.5507,317345.5824,271607.5507,0
Middle income,Least developed,world,Africa,Comoros,COM,2021-12,888451,335408,246139,0,89269,581547,654562.829,100477.1225,277042.8532,377519.9758,277042.8532,0
Middle income,Least developed,world,Africa,Comoros,COM,2022-01,907419,341102,256898,0,84204,598000,659011.9889,92795.05939,283108.4648,375903.5242,283108.4648,0
Middle income,Least developed,world,Africa,Comoros,COM,2022-04,907419,341302,301218,0,40084,642520,708074.2193,44173.63974,331950.2898,376123.9295,331950.2898,0
Middle income,Least developed,world,Africa,Comoros,COM,2022-05,907419,341302,301218,0,40084,642520,708074.2193,44173.63974,331950.2898,376123.9295,331950.2898,0
Middle income,Least developed,world,Africa,Comoros,COM,2022-06,907419,341302,301218,0,40084,642520,708074.2193,44173.63974,331950.2898,376123.9295,331950.2898,0
Middle income,Least developed,world,Africa,Comoros,COM,2022-03,907419,399949,301218,0,98731,701167,772704.7814,108804.2018,331950.2898,440754.4916,331950.2898,0
Middle income,Developing,world,Africa,Congo,COG,2021-04,5657013,22623,15645,0,6978,38268,6764.700735,1233.513163,2765.593786,3999.106949,2765.593786,0
Middle income,Developing,world,Africa,Congo,COG,2021-05,5657013,25082,26971,0,-1889,52053,9201.499095,-333.9218064,4767.710451,4433.788644,4767.710451,0
Middle income,Developing,world,Africa,Congo,COG,2021-06,5657013,41867,49013,0,-7146,90880,16065.01523,-1263.210815,8664.113022,7400.902208,8664.113022,0
Middle income,Developing,world,Africa,Congo,COG,2021-07,5657013,64009,79154,0,-15145,143163,25307.17182,-2677.207919,13992.18987,11314.98195,13992.18987,0
Middle income,Developing,world,Africa,Congo,COG,2021-08,5657013,89047,101517,0,-12470,190564,33686.32881,-2204.343529,17945.33617,15740.99264,17945.33617,0
Middle income,Developing,world,Africa,Congo,COG,2021-09,5657013,150241,111794,0,38447,262035,46320.38145,6796.342876,19762.01928,26558.36216,19762.01928,0
Middle income,Developing,world,Africa,Congo,COG,2021-10,5657013,458683,126809,0,331874,585492,103498.4364,58665.94261,22416.24688,81082.18949,22416.24688,0
Middle income,Developing,world,Africa,Congo,COG,2021-11,5657013,550142,512017,0,38125,1062159,187759.6887,6739.422377,90510.13317,97249.55555,90510.13317,0
Middle income,Developing,world,Africa,Congo,COG,2022-01,5797805,622886,583609,0,39277,1206495,208095.1326,6774.460335,100660.3361,107434.7964,100660.3361,0
Middle income,Developing,world,Africa,Congo,COG,2021-12,5657013,622886,583609,0,39277,1206495,213274.2138,6943.063415,103165.5752,110108.6386,103165.5752,0
Middle income,Developing,world,Africa,Congo,COG,2022-03,5797805,681597,640464,0,41133,1322061,228027.8485,7094.581484,110466.6335,117561.215,110466.6335,0
Middle income,Developing,world,Africa,Congo,COG,2022-04,5797805,693003,640464,0,52539,1333467,229995.1447,9061.877728,110466.6335,119528.5112,110466.6335,0
Middle income,Developing,world,Africa,Congo,COG,2022-05,5797805,693902,652422,0,41480,1346324,232212.7081,7154.43172,112529.1382,119683.5699,112529.1382,0
Middle income,Developing,world,Africa,Congo,COG,2022-06,5797805,693902,652422,0,41480,1346324,232212.7081,7154.43172,112529.1382,119683.5699,112529.1382,0
,Developing,world,Oceania,Cook Islands,COK,2021-05,17572,0,0,0,0,0,0,0,0,0,0,0
,Developing,world,Oceania,Cook Islands,COK,2021-06,17572,9755,9187,0,568,18942,1077964.944,32324.15206,522820.3961,555144.5481,522820.3961,0
,Developing,world,Oceania,Cook Islands,COK,2021-07,17572,10931,9578,0,1353,20509,1167140.906,76997.49602,545071.705,622069.201,545071.705,0
,Developing,world,Oceania,Cook Islands,COK,2021-08,17572,11404,10345,0,1059,21749,1237707.717,60266.3328,588720.692,648987.0248,588720.692,0
,Developing,world,Oceania,Cook Islands,COK,2021-09,17572,11404,10345,0,1059,21749,1237707.717,60266.3328,588720.692,648987.0248,588720.692,0
,Developing,world,Oceania,Cook Islands,COK,2021-10,17572,12600,11726,0,874,24326,1384361.484,49738.2199,667311.6321,717049.852,667311.6321,0
,Developing,world,Oceania,Cook Islands,COK,2021-11,17572,12600,11726,0,874,24326,1384361.484,49738.2199,667311.6321,717049.852,667311.6321,0
,Developing,world,Oceania,Cook Islands,COK,2021-12,17572,12938,12610,0,328,25548,1453903.938,18666.05964,717618.9392,736284.9989,717618.9392,0
,Developing,world,Oceania,Cook Islands,COK,2022-01,17564,12971,12630,0,341,25601,1457583.694,19414.71191,719084.491,738499.2029,719084.491,0
,Developing,world,Oceania,Cook Islands,COK,2022-02,17564,14571,12773,0,1798,27344,1556820.77,102368.481,727226.1444,829594.6254,727226.1444,0
,Developing,world,Oceania,Cook Islands,COK,2022-04,17564,15013,14679,0,334,29692,1690503.302,19016.16944,835743.5664,854759.7358,835743.5664,0
,Developing,world,Oceania,Cook Islands,COK,2022-05,17564,15013,14679,0,334,29692,1690503.302,19016.16944,835743.5664,854759.7358,835743.5664,0
,Developing,world,Oceania,Cook Islands,COK,2022-03,17564,15094,14676,0,418,29770,1694944.204,23798.67912,835572.7625,859371.4416,835572.7625,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-03,5139052,538682,280202,0,258480,818884,159345.3423,50297.21435,54524.06397,104821.2783,54524.06397,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-04,5139052,657301,436630,0,220671,1093931,212866.303,42940.02084,84963.14106,127903.1619,84963.14106,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-05,5139052,1219541,686621,0,532920,1906162,370917.0485,103700.0599,133608.4943,237308.5542,133608.4943,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-06,5139052,1704864,816931,0,887933,2521795,490712.1002,172781.478,158965.3111,331746.7891,158965.3111,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-07,5139052,2573189,851089,0,1722100,3424278,666324.8397,335100.7151,165612.0623,500712.7774,165612.0623,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-08,5139052,3062250,1266540,0,1795710,4328790,842332.399,349424.3685,246454.0153,595878.3838,246454.0153,0
Middle income,Developing,world,North America,Costa Rica,CRI,2021-10,5139052,3751491,2798540,19418,952951,6569449,1278338.69,185433.2278,544563.472,729996.6998,544563.472,3778.517906
Middle income,Developing,world,North America,Costa Rica,CRI,2021-12,5139052,3970253,3594194,460749,376059,8025196,1561610.196,73176.72598,699388.5254,772565.2513,699388.5254,89656.41912
Middle income,Developing,world,North America,Costa Rica,CRI,2022-01,5182354,4002913,3688372,587720,314541,8279005,1597537.528,60694.6187,711717.4936,772412.1123,711717.4936,113407.9223
Middle income,Developing,world,North America,Costa Rica,CRI,2022-02,5182354,4034579,3760785,1359428,273794,9154792,1766531.58,52831.97558,725690.4874,778522.463,725690.4874,262318.6297
Middle income,Developing,world,North America,Costa Rica,CRI,2022-03,5182354,4047175,3785415,1860344,261760,9692934,1870372.807,50509.86482,730443.1538,780953.0186,730443.1538,358976.6349
High income,Developed economy,world,Europe,Croatia,HRV,2021-02,4081651,217194,141252,331448,75942,689894,169023.2702,18605.70637,34606.58444,53212.29081,34606.58444,81204.39499
High income,Developed economy,world,Europe,Croatia,HRV,2021-03,4081651,488151,197577,335624,290574,1021352,250230.1152,71190.31,48406.14741,119596.4574,48406.14741,82227.51039
High income,Developed economy,world,Europe,Croatia,HRV,2021-04,4081651,780232,321942,335626,458290,1437800,352259.4166,112280.5453,78875.43545,191155.9808,78875.43545,82228.00039
High income,Developed economy,world,Europe,Croatia,HRV,2021-05,4081651,1446127,703974,335633,742153,2485734,609002.0925,181826.6677,172472.8547,354299.5224,172472.8547,82229.71538
High income,Developed economy,world,Europe,Croatia,HRV,2021-06,4081651,1596251,1307263,335641,288988,3239155,793589.4078,70801.74175,320277.9954,391079.7371,320277.9954,82231.67537
High income,Developed economy,world,Europe,Croatia,HRV,2021-07,4081651,1729968,1602990,335648,126978,3668606,898804.4299,31109.47016,392730.7847,423840.2548,392730.7847,82233.39036
High income,Developed economy,world,Europe,Croatia,HRV,2021-08,4081651,1819524,1745692,335736,73832,3900952,955728.944,18088.75869,427692.6175,445781.3762,427692.6175,82254.95026
High income,Developed economy,world,Europe,Croatia,HRV,2021-09,4081651,1903758,1827595,335958,76163,4067311,996486.7158,18659.85112,447758.7623,466418.6134,447758.7623,82309.34002
High income,Developed economy,world,Europe,Croatia,HRV,2021-10,4081651,1979927,1906539,361833,73388,4248299,1040828.576,17979.97918,467099.9554,485079.9346,467099.9554,88648.68652
High income,Developed economy,world,Europe,Croatia,HRV,2021-12,4081651,2241855,1906745,0,335110,4148600,1016402.431,82101.58095,467150.4252,549252.0061,467150.4252,0
High income,Developed economy,world,Europe,Croatia,HRV,2021-11,4081651,2265526,2078068,583014,187458,4926608,1207013.534,45927.00356,509124.3715,555051.375,509124.3715,142837.7879
High income,Developed economy,world,Europe,Croatia,HRV,2022-02,4059286,2273007,2200304,863243,72703,5336554,1314653.365,17910.2926,542042.1227,559952.4153,542042.1227,212658.8272
High income,Developed economy,world,Europe,Croatia,HRV,2022-03,4059286,2275465,2205077,879433,70388,5359975,1320423.099,17339.99526,543217.9452,560557.9405,543217.9452,216647.2133
High income,Developed economy,world,Europe,Croatia,HRV,2022-04,4059286,2277297,2207761,890441,69536,5375499,1324247.417,17130.10613,543879.1452,561009.2514,543879.1452,219359.0203
High income,Developed economy,world,Europe,Croatia,HRV,2022-05,4059286,2278100,2209119,896398,68981,5383617,1326247.276,16993.38258,544213.6868,561207.0694,544213.6868,220826.5197
High income,Developed economy,world,Europe,Croatia,HRV,2022-01,4059286,2299086,2211852,822786,87234,5333724,1313956.198,21489.98617,544886.958,566376.9441,544886.958,202692.2961
High income,Developed economy,world,Europe,Cyprus,CYP,2021-02,1215584,68314,48666,130905,19648,247885,203922.559,16163.42433,40035.07779,56198.50212,40035.07779,107688.9791
High income,Developed economy,world,Europe,Cyprus,CYP,2021-03,1215584,127914,74042,136145,53872,338101,278138.7383,44317.79293,60910.64048,105228.4334,60910.64048,111999.6644
High income,Developed economy,world,Europe,Cyprus,CYP,2021-04,1215584,237829,98011,136145,139818,471985,388278.3913,115021.2573,80628.73483,195649.9921,80628.73483,111999.6644
High income,Developed economy,world,Europe,Cyprus,CYP,2021-05,1215584,409333,279526,136145,129807,825004,678689.4201,106785.7096,229952.0231,336737.7326,229952.0231,111999.6644
High income,Developed economy,world,Europe,Cyprus,CYP,2021-06,1215584,480720,412733,136145,67987,1029598,846998.6443,55929.49562,339534.7421,395464.2378,339534.7421,111999.6644
High income,Developed economy,world,Europe,Cyprus,CYP,2021-07,1215584,546240,496887,136145,49353,1179272,970127.9385,40600.23824,408764.018,449364.2562,408764.018,111999.6644
High income,Developed economy,world,Europe,Cyprus,CYP,2021-08,1215584,591339,571243,136279,20096,1298861,1068507.812,16531.97146,469932.9705,486464.942,469932.9705,112109.8994
High income,Developed economy,world,Europe,Cyprus,CYP,2021-09,1215584,609107,602128,148436,6979,1359671,1118533.149,5741.27333,495340.5112,501081.7846,495340.5112,122110.8537
High income,Developed economy,world,Europe,Cyprus,CYP,2021-10,1215584,618238,615958,176078,2280,1410274,1160161.7,1875.641667,506717.7587,508593.4004,506717.7587,144850.541
High income,Developed economy,world,Europe,Cyprus,CYP,2022-02,1223387,623372,621950,436220,1422,1681542,1374497.195,1162.346829,508383.6922,509546.039,508383.6922,356567.4639
High income,Developed economy,world,Europe,Cyprus,CYP,2022-03,1223387,624560,623423,451815,1137,1699798,1389419.701,929.3870214,509587.7265,510517.1136,509587.7265,369314.8611
High income,Developed economy,world,Europe,Cyprus,CYP,2022-04,1223387,625804,624527,460297,1277,1710628,1398272.174,1043.823418,510490.1393,511533.9627,510490.1393,376248.072
High income,Developed economy,world,Europe,Cyprus,CYP,2022-05,1223387,626684,625060,463080,1624,1714824,1401701.996,1327.462201,510925.815,512253.2772,510925.815,378522.904
High income,Developed economy,world,Europe,Cyprus,CYP,2021-12,1215584,637324,593614,0,43710,1230938,1012630.966,35958.02511,488336.4704,524294.4955,488336.4704,0
High income,Developed economy,world,Europe,Cyprus,CYP,2021-11,1215584,639866,630989,282729,8877,1553584,1278055.651,7302.662753,519083.0087,526385.6714,519083.0087,232586.9705
High income,Developed economy,world,Europe,Cyprus,CYP,2022-01,1223387,654665,649278,409442,5387,1713385,1400525.754,4403.349063,530721.6768,535125.0259,530721.6768,334679.0509
High income,Developed economy,world,Europe,Czechia,CZE,2021-02,10724555,538570,429303,1584242,109267,2552115,237969.3143,10188.48801,40029.91266,50218.40067,40029.91266,147721.001
High income,Developed economy,world,Europe,Czechia,CZE,2021-03,10724555,1373238,775090,1607167,598148,3755495,350177.2335,55773.68944,72272.46259,128046.152,72272.46259,149858.6188
High income,Developed economy,world,Europe,Czechia,CZE,2021-04,10724555,2349714,1214235,1607167,1135479,5171116,482175.3443,105876.5608,113220.0823,219096.6432,113220.0823,149858.6188
High income,Developed economy,world,Europe,Czechia,CZE,2021-05,10724555,4341597,1951532,1607167,2390065,7900296,736654.9008,222859.1303,181968.5759,404827.7061,181968.5759,149858.6188
High income,Developed economy,world,Europe,Czechia,CZE,2021-06,10724555,5280328,3725318,1607167,1555010,10612813,989580.7332,144995.2935,347363.4104,492358.7039,347363.4104,149858.6188
High income,Developed economy,world,Europe,Czechia,CZE,2021-07,10724555,5800354,5077926,1607169,722428,12485449,1164192.733,67362.04905,473485.9395,540847.9886,473485.9395,149858.8053
High income,Developed economy,world,Europe,Czechia,CZE,2021-08,10724555,6109734,5994057,1607175,115677,13710966,1278464.794,10786.1818,558909.6238,569695.8056,558909.6238,149859.3648
High income,Developed economy,world,Europe,Czechia,CZE,2021-09,10724555,6217836,6177513,1615228,40323,14010577,1306401.711,3759.876284,576015.7881,579775.6644,576015.7881,150610.2584
High income,Developed economy,world,Europe,Czechia,CZE,2021-10,10724555,6359039,6295337,1826237,63702,14480613,1350229.73,5939.826874,587002.1647,592941.9915,587002.1647,170285.5736
High income,Developed economy,world,Europe,Czechia,CZE,2022-02,10736784,6529863,6453630,3987068,76233,16970561,1580600.02,7100.170777,601076.6352,608176.806,601076.6352,371346.5783
High income,Developed economy,world,Europe,Czechia,CZE,2022-03,10736784,6535177,6459893,4054244,75284,17049314,1587934.897,7011.783044,601659.957,608671.7401,601659.957,377603.2004
High income,Developed economy,world,Europe,Czechia,CZE,2022-04,10736784,6538016,6464481,4103145,73535,17105642,1593181.161,6848.885104,602087.2731,608936.1582,602087.2731,382157.7299
High income,Developed economy,world,Europe,Czechia,CZE,2022-05,10736784,6540169,6467474,4143149,72695,17150792,1597386.331,6770.649386,602366.0344,609136.6838,602366.0344,385883.6128
High income,Developed economy,world,Europe,Czechia,CZE,2021-12,10724555,6777341,6167261,0,610080,12944602,1207005.978,56886.2764,575059.851,631946.1274,575059.851,0
High income,Developed economy,world,Europe,Czechia,CZE,2021-11,10724555,6820579,6615042,2751673,205537,16187294,1509367.428,19165.08424,616812.7256,635977.8098,616812.7256,256576.8929
High income,Developed economy,world,Europe,Czechia,CZE,2022-01,10736784,6928655,6800424,3852095,128231,17581174,1637471.146,11943.14797,633376.2512,645319.3992,633376.2512,358775.4955
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-04,92377993,9838,0,0,9838,9838,106.497226,106.497226,0,106.497226,0,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-05,92377993,23733,21,0,23712,23754,257.1391652,256.6845114,0.22732687,256.9118383,0.22732687,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-06,92377993,64080,1487,0,62593,65567,709.7686134,677.5747986,16.09690741,693.671706,16.09690741,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-07,92377993,81910,4260,0,77650,86170,932.797923,840.5681643,46.11487933,886.6830437,46.11487933,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-08,92377993,85182,25452,0,59730,110634,1197.622901,646.5825686,275.5201664,922.102735,275.5201664,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-09,92377993,100534,36954,0,63580,137488,1488.319843,688.2591615,400.0303406,1088.289502,400.0303406,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-10,92377993,113921,39780,0,74141,153701,1663.827011,802.5829269,430.6220422,1233.204969,430.6220422,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-11,92377993,145382,57268,0,88114,202650,2193.704295,953.8418961,619.9311994,1573.773096,619.9311994,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2021-12,92377993,257013,117844,0,139169,374857,4057.860404,1506.516817,1275.671793,2782.188611,1275.671793,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2022-01,95240792,372564,211035,0,161529,583599,6127.61599,1696.006476,2215.804757,3911.811233,2215.804757,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2022-03,95240792,853971,519397,0,334574,1373368,14419.95568,3512.927528,5453.514078,8966.441606,5453.514078,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2022-04,95240792,1771324,1064851,0,706473,2836175,29778.99428,7417.756459,11180.61891,18598.37537,11180.61891,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2022-05,95240792,2136131,1429658,0,706473,3565789,37439.72436,7417.756459,15010.98395,22428.74041,15010.98395,0
Low income,Least developed,world,Africa,Democratic Republic of Congo,COD,2022-06,95240792,2979005,2272532,0,706473,5251537,55139.57717,7417.756459,23860.91035,31278.66681,23860.91035,0
High income,Developed economy,world,Europe,Denmark,DNK,2021-02,5813298,447845,357050,785526,90795,1590421,273583.2569,15618.50089,61419.52468,77038.02558,61419.52468,135125.7066
High income,Developed economy,world,Europe,Denmark,DNK,2021-03,5813298,789009,572046,794226,216963,2155281,370750.1319,37321.84381,98403.00635,135724.8502,98403.00635,136622.2753
High income,Developed economy,world,Europe,Denmark,DNK,2021-04,5813298,1378284,829286,794290,548998,3001860,516378.1385,94438.30335,142653.2753,237091.5787,142653.2753,136633.2846
High income,Developed economy,world,Europe,Denmark,DNK,2021-05,5813298,2404300,1527318,794379,876982,4725997,812963.1407,150857.9123,262728.317,413586.2294,262728.317,136648.5943
High income,Developed economy,world,Europe,Denmark,DNK,2021-06,5813298,3433783,2270729,794445,1163054,6498957,1117946.646,200067.8444,390609.4269,590677.2713,390609.4269,136659.9476
High income,Developed economy,world,Europe,Denmark,DNK,2021-07,5813298,4229355,3376760,794546,852595,8400661,1445076.616,146662.8754,580868.2094,727531.0848,580868.2094,136677.3215
High income,Developed economy,world,Europe,Denmark,DNK,2022-02,5834950,4301672,4305979,3590999,-4307,12198650,2090617.743,-738.1382874,737963.3073,737225.169,737963.3073,615429.2667
High income,Developed economy,world,Europe,Denmark,DNK,2022-03,5834950,4302966,4308349,3611232,-5383,12222547,2094713.237,-922.5443234,738369.4805,737446.9361,738369.4805,618896.82
High income,Developed economy,world,Europe,Denmark,DNK,2022-04,5834950,4303871,4309738,3621395,-5867,12235004,2096848.131,-1005.492763,738607.5288,737602.036,738607.5288,620638.5659
High income,Developed economy,world,Europe,Denmark,DNK,2022-05,5834950,4304622,4310630,3632841,-6008,12248093,2099091.338,-1029.657495,738760.4007,737730.7432,738760.4007,622600.1937
High income,Developed economy,world,Europe,Denmark,DNK,2021-08,5813298,4441609,4418257,794839,23352,9654705,1660796.505,4016.996892,760025.8924,764042.8893,760025.8924,136727.7232
High income,Developed economy,world,Europe,Denmark,DNK,2021-09,5813298,4482062,4548581,866728,-66519,9897371,1702539.763,-11442.55808,782444.1479,771001.5898,782444.1479,149094.0255
High income,Developed economy,world,Europe,Denmark,DNK,2021-10,5813298,4510568,4604029,1080737,-93461,10195334,1753795.178,-16077.1046,791982.2793,775905.1747,791982.2793,185907.724
High income,Developed economy,world,Europe,Denmark,DNK,2021-11,5813298,4634168,4676629,1736757,-42461,11047554,1900393.546,-7304.115495,804470.8873,797166.7718,804470.8873,298755.8869
High income,Developed economy,world,Europe,Denmark,DNK,2022-01,5834950,4841896,4747683,3589587,94213,13179166,2258659.629,16146.32516,813663.0134,829809.3386,813663.0134,615187.2767
High income,Developed economy,world,Europe,Denmark,DNK,2021-12,5813298,5057414,4756065,0,301349,9813479,1688108.712,51837.87241,818135.4199,869973.2923,818135.4199,0
Middle income,Least developed,world,Africa,Djibouti,DJI,2022-01,1016097,130425,90458,0,39967,220883,217383.7734,39333.84313,89024.96514,128358.8083,89024.96514,0
Middle income,Least developed,world,Africa,Djibouti,DJI,2022-03,1016097,149789,109762,0,40027,259551,255439.1953,39392.89261,108023.1513,147416.0439,108023.1513,0
Middle income,Least developed,world,Africa,Djibouti,DJI,2022-04,1016097,156352,116303,0,40049,272655,268335.6018,39414.54408,114460.5289,153875.073,114460.5289,0
Middle income,Least developed,world,Africa,Djibouti,DJI,2022-05,1016097,175939,135884,0,40055,311823,306883.1027,39420.44903,133731.3268,173151.7759,133731.3268,0
Middle income,Developing,world,North America,Dominica,DMA,2021-03,72172,19058,13803,0,5255,32861,455315.0806,72812.17093,191251.4549,264063.6258,191251.4549,0
Middle income,Developing,world,North America,Dominica,DMA,2021-05,72172,20206,18630,0,1576,38836,538103.4196,21836.72338,258133.3481,279970.0715,258133.3481,0
Middle income,Developing,world,North America,Dominica,DMA,2021-07,72172,21829,20371,0,1458,42200,584714.2936,20201.74029,282256.2767,302458.017,282256.2767,0
Middle income,Developing,world,North America,Dominica,DMA,2021-09,72172,24266,22799,0,1467,47065,652122.7069,20326.44239,315898.1322,336224.5746,315898.1322,0
Middle income,Developing,world,North America,Dominica,DMA,2021-12,72172,31137,28412,1180,2725,60729,841448.2071,37757.02488,393670.6756,431427.7005,393670.6756,16349.83096
Middle income,Developing,world,North America,Dominica,DMA,2022-04,72337,32715,28321,3936,4394,64972,898184.8846,60743.46462,391514.7158,452258.1805,391514.7158,54411.98833
